SNR, EbN0, FER, sigma, testsCount, time(ms)
-6, 0.0205999, 1, 1.41086, 20, 15
-5.8, 0.2206, 1, 1.37875, 20, 15
-5.6, 0.4206, 1, 1.34736, 20, 13
-5.4, 0.6206, 0.952381, 1.31669, 21, 13
-5.2, 0.8206, 0.952381, 1.28672, 21, 13
-5, 1.0206, 0.869565, 1.25743, 23, 14
-4.8, 1.2206, 0.833333, 1.22881, 24, 14
-4.6, 1.4206, 0.571429, 1.20084, 35, 19
-4.4, 1.6206, 0.526316, 1.17351, 38, 21
-4.2, 1.8206, 0.327869, 1.14679, 61, 31
-4, 2.0206, 0.217391, 1.12069, 92, 44
-3.8, 2.2206, 0.0990099, 1.09518, 202, 87
-3.6, 2.4206, 0.0896861, 1.07025, 223, 90
-3.4, 2.6206, 0.033389, 1.04589, 599, 228
-3.2, 2.8206, 0.0126823, 1.02208, 1577, 539
-3, 3.0206, 0.0056338, 0.998815, 3550, 1122
-2.8, 3.2206, 0.00201369, 0.976079, 9932, 2958
-2.6, 3.4206, 0.000435787, 0.953861, 45894, 14666
-2.4, 3.6206, 0.00014, 0.932148, 100000, 27845
-2.2, 3.8206, 5e-05, 0.91093, 100000, 33100
-2, 4.0206, 1e-05, 0.890195, 100000, 29259
-1.8, 4.2206, 1e-05, 0.869931, 100000, 30211
-1.6, 4.4206, 0, 0.850129, 100000, 28551
-1.4, 4.6206, 0, 0.830778, 100000, 27610
-1.2, 4.8206, 0, 0.811867, 100000, 24643
